Date,Open,High,Low,Close,Volume,isin,ticker_used
2009-03-06,78.15769958496094,78.15769958496094,78.15769958496094,78.15769958496094,0,IE00B3F81R35,IE00B3F81R35
2009-03-09,78.42375946044922,78.42375946044922,78.42375946044922,78.42375946044922,0,IE00B3F81R35,IE00B3F81R35
2009-03-10,77.87681579589844,77.87681579589844,77.87681579589844,77.87681579589844,0,IE00B3F81R35,IE00B3F81R35
2009-03-11,77.7838134765625,77.7838134765625,77.7838134765625,77.7838134765625,0,IE00B3F81R35,IE00B3F81R35
2009-03-12,77.90176391601562,77.90176391601562,77.90176391601562,77.90176391601562,0,IE00B3F81R35,IE00B3F81R35
2009-03-13,77.89188385009766,77.89188385009766,77.89188385009766,77.89188385009766,0,IE00B3F81R35,IE00B3F81R35
2009-03-16,77.81535339355469,77.81535339355469,77.81535339355469,77.81535339355469,0,IE00B3F81R35,IE00B3F81R35
2009-03-17,77.65701293945312,77.65701293945312,77.65701293945312,77.65701293945312,0,IE00B3F81R35,IE00B3F81R35
2009-03-18,77.6917953491211,77.6917953491211,77.6917953491211,77.6917953491211,0,IE00B3F81R35,IE00B3F81R35
2009-03-19,78.57194797148887,78.57194797148887,78.57194797148887,78.28276824951172,250,IE00B3F81R35,IE00B3F81R35
2009-03-20,78.28276824951172,78.28276824951172,78.28276824951172,78.28276824951172,0,IE00B3F81R35,IE00B3F81R35
2009-03-23,78.28276824951172,78.28276824951172,78.28276824951172,78.28276824951172,0,IE00B3F81R35,IE00B3F81R35
2009-03-24,78.28276824951172,78.28276824951172,78.28276824951172,78.28276824951172,0,IE00B3F81R35,IE00B3F81R35
2009-03-25,78.97837146098634,79.04871054054493,78.97837146098634,78.93147277832031,13170,IE00B3F81R35,IE00B3F81R35
2009-03-26,78.93147277832031,78.93147277832031,78.93147277832031,78.93147277832031,0,IE00B3F81R35,IE00B3F81R35
2009-03-27,78.93147277832031,78.93147277832031,78.93147277832031,78.93147277832031,0,IE00B3F81R35,IE00B3F81R35
2009-03-30,79.67397062493689,79.72086334228516,79.67397062493689,79.72086334228516,6154,IE00B3F81R35,IE00B3F81R35
2009-03-31,79.72086334228516,79.72086334228516,79.72086334228516,79.72086334228516,0,IE00B3F81R35,IE00B3F81R35
2009-04-01,79.72086334228516,79.72086334228516,79.72086334228516,79.72086334228516,0,IE00B3F81R35,IE00B3F81R35
2009-04-02,79.72086334228516,79.72086334228516,79.72086334228516,79.72086334228516,0,IE00B3F81R35,IE00B3F81R35
2009-04-03,79.72086334228516,79.72086334228516,79.72086334228516,79.72086334228516,0,IE00B3F81R35,IE00B3F81R35
2009-04-06,79.50983876747385,79.62707055880422,79.50983876747385,79.3926010131836,2388,IE00B3F81R35,IE00B3F81R35
2009-04-07,79.78340081870695,79.89282114804023,79.78340081870695,79.61927032470703,2358,IE00B3F81R35,IE00B3F81R35
2009-04-08,79.78339240086522,79.89281271865372,79.78339240086522,79.75212860107422,0,IE00B3F81R35,IE00B3F81R35
2009-04-09,80.09602827396502,80.09602827396502,80.09602827396502,80.03350067138672,145,IE00B3F81R35,IE00B3F81R35
2009-04-14,80.57277562980728,80.57277562980728,80.57277562980728,80.29922485351562,1196,IE00B3F81R35,IE00B3F81R35
2009-04-15,80.29922485351562,80.29922485351562,80.29922485351562,80.29922485351562,0,IE00B3F81R35,IE00B3F81R35
2009-04-16,81.01048300738773,81.19024243530171,81.01048300738773,81.06519317626953,2040,IE00B3F81R35,IE00B3F81R35
2009-04-17,81.25274369633725,81.25274369633725,80.89321899414062,80.89321899414062,50030,IE00B3F81R35,IE00B3F81R35
2009-04-20,81.26057265253138,81.26839009321903,81.26057265253138,81.17459869384766,954,IE00B3F81R35,IE00B3F81R35
2009-04-21,81.49506168024742,81.49506168024742,81.49506168024742,81.21369934082031,290,IE00B3F81R35,IE00B3F81R35
2009-04-22,81.47940022993986,81.55755673541032,81.47940022993986,81.15895080566406,2532,IE00B3F81R35,IE00B3F81R35
2009-04-23,81.38562852854956,81.45597357455718,81.38562852854956,81.25276184082031,2238,IE00B3F81R35,IE00B3F81R35
2009-04-24,81.76075994273909,81.76075994273909,81.76075994273909,81.50283813476562,8,IE00B3F81R35,IE00B3F81R35
2009-04-27,81.50283813476562,81.50283813476562,81.50283813476562,81.50283813476562,0,IE00B3F81R35,IE00B3F81R35
2009-04-28,82.04996104853495,82.04996104853495,82.0030623708848,81.76859283447266,1051,IE00B3F81R35,IE00B3F81R35
2009-04-29,82.04215420496304,82.04215420496304,82.04215420496304,81.91709899902344,1610,IE00B3F81R35,IE00B3F81R35
2009-04-30,82.15158262304642,82.15158262304642,82.15158262304642,82.02652740478516,925,IE00B3F81R35,IE00B3F81R35
2009-05-01,82.15155990384388,82.15155990384388,82.15155990384388,81.99524688720703,0,IE00B3F81R35,IE00B3F81R35
